df_index,Price,lower,pred,upper,prob_of_growth,ticker
2019-08-01,-0.02005065428450825,-0.13328687600990177,0.005931667220615722,0.14515021045113322,0.5332761689247548,ГАЗПРОМ ао
2019-09-01,-0.026922248546198624,-0.13297031497469522,0.005693251813269905,0.14435681860123503,0.5320691650159256,ГАЗПРОМ ао
2019-10-01,0.15095174856131033,-0.13276851225332365,0.005396702058362682,0.143561916370049,0.530511519196171,ГАЗПРОМ ао
2019-11-01,-0.00946153846153841,-0.13345003990238555,0.006707960690618803,0.14686596128362314,0.5373675170246989,ГАЗПРОМ ао
2019-12-01,-0.004426496854857631,-0.13299925567038084,0.006563545874999201,0.14612634742037922,0.5367208193419387,ГАЗПРОМ ао
2020-01-01,-0.1158346333853354,-0.13249235126978437,0.006466244948944205,0.1454248411676728,0.5363348300222592,ГАЗПРОМ ао
2020-02-01,-0.10608734009704446,-0.13474785085418417,0.005393092003950825,0.14553403486208583,0.5300621002042922,ГАЗПРОМ ао
2020-03-01,-0.10481125092524057,-0.13657190551154869,0.004423793873204179,0.14541949325795706,0.5245173497257466,ГАЗПРОМ ао
2020-04-01,0.04735130367675433,-0.13828808667040415,0.0034820329853903578,0.14525215264118485,0.5191972323797308,ГАЗПРОМ ао
2020-05-01,0.05236842105263162,-0.13753565263771622,0.0038570983834442297,0.14524984940460467,0.5213198846837206,ГАЗПРОМ ао
2020-06-01,-0.028207051762940694,-0.13679287857655836,0.004268204617342498,0.14532928781124338,0.5236451277370133,ГАЗПРОМ ао
2020-07-01,-0.06031598991302556,-0.13658871119460883,0.0039952770259301,0.14457926524646905,0.5222098012322796,ГАЗПРОМ ао
2020-08-01,-0.008653266882085564,-0.13701016372373612,0.003459227833285749,0.14392861939030763,0.5192480626048784,ГАЗПРОМ ао
2020-09-01,-0.0609911054637865,-0.13654046663011907,0.003358898329028843,0.14325826328817673,0.5187663154048349,ГАЗПРОМ ао
2020-10-01,-0.09231040771900922,-0.1369591255351318,0.0028315837933703485,0.14262229312187247,0.5158341659567799,ГАЗПРОМ ао
2020-11-01,0.17896033186414306,-0.13816933623154043,0.002058074781778532,0.14228548579509748,0.5114743079431101,ГАЗПРОМ ао
2020-12-01,0.1709274836439607,-0.13957584782279542,0.0034846802394403356,0.1465452083016761,0.5190386573099944,ГАЗПРОМ ао
2021-01-01,-0.0007042914827681823,-0.14063326740550047,0.0048241347546452915,0.15028153691479107,0.5259140925333898,ГАЗПРОМ ао
2021-02-01,0.022224310482544807,-0.14010205776486778,0.004780218178866867,0.14966249412260152,0.5257803027656544,ГАЗПРОМ ао
2021-03-01,0.04449347306490159,-0.13942487088365738,0.004917533602098011,0.1492599380878534,0.5266188277418298,ГАЗПРОМ ао
2021-04-01,0.018218623481781382,-0.13871288432367782,0.005226682417911078,0.14916624915949997,0.5283685787063208,ГАЗПРОМ ао
2021-05-01,0.1281441784078139,-0.13807063689786464,0.005327355988946323,0.14872534887575728,0.5290230581732077,ГАЗПРОМ ао
2021-06-01,0.07956939815346908,-0.13810309385114478,0.006272070242374794,0.1506472343358944,0.5339275162015065,ГАЗПРОМ ао
2021-07-01,0.01969481902058212,-0.13753881923655314,0.00683153698783106,0.15120189321221528,0.5369467556578996,ГАЗПРОМ ао
2021-08-01,0.06368540107882348,-0.13691017582317178,0.006928948019137591,0.15076807186144697,0.537610022350433,ГАЗПРОМ ао
2021-09-01,0.1804351382300018,-0.13626866148293573,0.0073556981505280925,0.1509800577839919,0.5399783730190526,ГАЗПРОМ ао
2021-10-01,-0.029434589800443445,-0.13738834542026457,0.008647293008964264,0.15468293143819312,0.5461961121288121,ГАЗПРОМ ао
2021-11-01,-0.04551944714147005,-0.13726942678809748,0.008365163784933042,0.15399975435796356,0.5448178956915168,ГАЗПРОМ ао
2021-12-01,0.024383676400191456,-0.1374095957122743,0.007968910975225325,0.15334741766272492,0.5427781608302857,ГАЗПРОМ ао
2022-01-01,-0.02216770349601327,-0.13678415064896077,0.008088712818274233,0.15296157628550922,0.5435696860626882,ГАЗПРОМ ао
2022-02-01,-0.31899641577060933,-0.1365581301792401,0.007869426478502885,0.15229698313624587,0.5425232359045654,ГАЗПРОМ ао
2022-03-01,0.06350877192982463,-0.1482451556526993,0.005517823944102363,0.15928080354090401,0.5280360137089108,ГАЗПРОМ ао
2022-04-01,-0.008578027053777526,-0.1475787596538365,0.005931967092060179,0.15944269383795684,0.5301858304742314,ГАЗПРОМ ао
2022-05-01,0.2219217970049916,-0.14715534100617123,0.00582902342540694,0.15881338785698512,0.5297648289208808,ГАЗПРОМ ао
2022-06-01,-0.2953191489361702,-0.1491438584959215,0.007350809430608492,0.16384547735713845,0.5366758883721161,ГАЗПРОМ ао
2022-07-01,-0.05671497584541063,-0.15837083478443917,0.005234194210782165,0.1688392232060035,0.5249992404981569,ГАЗПРОМ ао
2022-08-01,0.30543890197685153,-0.15852489770251438,0.004803993504756175,0.16813288471202675,0.5229856641288891,ГАЗПРОМ ао
2022-09-01,-0.14593958415064734,-0.16303373004905147,0.00687732035778145,0.1767883707646144,0.5316155280804705,ГАЗПРОМ ао
2022-10-01,-0.21786862655029848,-0.16530971735330438,0.0058304850363118345,0.17697068742592806,0.5266187814275822,ГАЗПРОМ ао
2022-11-01,-0.01509367475186485,-0.1295536872824854,0.03904247887999833,0.20763864504248208,0.6551737505137041,ГАЗПРОМ ао
2022-12-01,-0.030649970184853825,-0.08234289864927255,0.08481763490222982,0.2519781684537322,0.8217964650710284,ГАЗПРОМ ао
2023-01-01,-0.027436023622047334,-0.22169637739379008,-0.056384669684655574,0.10892703802447892,0.2263701346796843,ГАЗПРОМ ао
