,Price,lower,pred,upper,prob_of_growth,ticker
2019-07-15,-0.011875356260687808,-0.05908493192395033,0.005514989850163138,0.0701149116242766,0.5895083924501936,ЛУКОЙЛ
2019-07-22,-0.02413229497163738,-0.05839972058390952,0.006138358280760479,0.07067643714543048,0.5950895044742912,ЛУКОЙЛ
2019-07-29,0.010837438423645374,-0.056551293880832715,0.007978081249060964,0.07250745637895464,0.616258075768098,ЛУКОЙЛ
2019-08-05,0.03060428849902541,-0.058082357195208226,0.006394855834023589,0.07087206886325541,0.599933025749432,ЛУКОЙЛ
2019-08-12,-0.05428409305844528,-0.06226300548912237,0.0021742050778840805,0.06661141564489054,0.5480019050728386,ЛУКОЙЛ
2019-08-19,0.036699999999999955,-0.056352757085407365,0.008210544216410692,0.07277384551822876,0.6181868066019651,ЛУКОЙЛ
2019-08-26,0.03781228899392297,-0.06112526133980849,0.003432038823069888,0.06798933898594826,0.5630399794185127,ЛУКОЙЛ
2019-09-02,0.02732595966167861,-0.0646459322797499,-7.855968290053838e-05,0.06448881291394883,0.52206618653175,ЛУКОЙЛ
2019-09-09,-0.026961006061702708,-0.06668962579623186,-0.002154755296876677,0.06238011520247851,0.4959688313001832,ЛУКОЙЛ
2019-09-16,0.020734542073454154,-0.06224137223006709,0.0022638771391478222,0.06676912650836273,0.5489330939419711,ЛУКОЙЛ
2019-09-23,-0.015303333940608455,-0.06395460983181195,0.0005223154124401543,0.06499924065669227,0.529910003232655,ЛУКОЙЛ
2019-09-30,-0.01295097132284917,-0.06150339807574514,0.0029238899253371444,0.06735117792641943,0.558546351393627,ЛУКОЙЛ
2019-10-07,0.016869728209934376,-0.05984371318585524,0.0045335848005908785,0.068910882787037,0.5777668801127754,ЛУКОЙЛ
2019-10-14,0.05437788018433176,-0.06161758094133835,0.0027061535913863646,0.06702988812411108,0.5559961338473354,ЛУКОЙЛ
2019-10-21,0.06949300699300709,-0.06652998489665007,-0.0021134187247483904,0.06230314744715329,0.4991859456081897,ЛУКОЙЛ
2019-10-28,-0.015774417654270567,-0.0724362266100005,-0.007793969436645763,0.056848287736708976,0.4294519853249844,ЛУКОЙЛ
2019-11-04,0.0031556219897026505,-0.06774563848466787,-0.0031622607419541306,0.061421117000759605,0.48491446303034774,ЛУКОЙЛ
2019-11-11,0.02003311258278151,-0.06607943310912368,-0.0015577668942954748,0.06296389932053273,0.5043986619597773,ЛУКОЙЛ
2019-11-18,-0.006654763837039446,-0.0671287283855427,-0.002618932008394542,0.061890864368753615,0.49523149227046587,ЛУКОЙЛ
2019-11-25,0.0028594771241829964,-0.0641272135234389,0.0002963718234326013,0.06471995717030411,0.5269339394394105,ЛУКОЙЛ
2019-12-02,0.01344195519348279,-0.06441837744536492,-3.486727417677726e-05,0.06434864289701138,0.5264356203887915,ЛУКОЙЛ
2019-12-09,-0.00836012861736335,-0.06375117730514007,0.0005562889491917567,0.06486375520352358,0.5301389743643026,ЛУКОЙЛ
2019-12-16,-0.014348249027237303,-0.06188826676909281,0.0023617774597160302,0.06661182168852486,0.5519968730269788,ЛУКОЙЛ
2019-12-23,0.011596348383913213,-0.05995119955205778,0.0042588354590116,0.06846887047008098,0.5748338109229649,ЛУКОЙЛ
2019-12-30,0.023414634146341484,-0.06106649643414961,0.0030779654931174178,0.06722242742038445,0.5607068872427283,ЛУКОЙЛ
2020-01-06,0.03114076898633611,-0.06310712013092803,0.000999223777614322,0.06510556768615669,0.5356915146614218,ЛУКОЙЛ
2020-01-13,0.03004622496147924,-0.06538402893848422,-0.0012869594999527778,0.06281010993857866,0.5081591618286765,ЛУКОЙЛ
